,Lawyer,Matter Type,Jurisdiction,Industry,Client Role,Tort,Contract,Restitution,Statute,Injunction,Jurisdiction Motion,Motion to Strike,Summary Judgment,Claim Amount
763,Lawyer Theta,Class Action (Competition),Ontario,Pharmaceuticals,Third Party,0,1,1,0,0,0,1,1,17898808
764,Lawyer Theta,Action (Securities),British Columbia,Construction,Third Party,0,0,1,1,1,1,1,1,18931857
765,Lawyer Eta,Class Action (Competition),Alberta,Technology,Defendant,0,0,0,0,0,1,1,0,12909669
766,Lawyer Delta,Class Action (Securities),Alberta,Technology,Defendant,0,1,0,1,0,0,1,1,14663186
767,Lawyer Beta,Class Action (Product Liabilty,Alberta,Insurance,Defendant,1,0,0,0,0,0,0,0,13164522
768,Lawyer Kappa,Class Action (Securities),Federal,Insurance,Third Party,0,0,0,1,1,0,1,1,16071808
769,Lawyer Zeta,Class Action (Product Liabilty,British Columbia,Insurance,Third Party,0,1,0,1,1,0,1,0,828330
770,Lawyer Delta,Class Action (Securities),Ontario,Resources,Third Party,0,0,0,1,1,1,1,1,3877439
771,Lawyer Beta,Action (Privacy),Federal,Construction,Plaintiff,1,0,1,0,0,0,0,1,16070221
772,Lawyer Gamma,Class Action (Privacy,Ontario,Retail,Defendant,0,0,0,1,1,1,0,1,17078398
773,Lawyer Iota,Class Action (Securities),Federal,Technology,Third Party,1,0,1,1,1,0,1,0,14722499
774,Lawyer Kappa,Class Action (Securities),Ontario,Transportation,Third Party,0,0,1,1,0,0,1,1,2694836
775,Lawyer Epsilon,Action (Commercial),Federal,Transportation,Plaintiff,0,0,1,1,1,1,1,0,19990654
776,Lawyer Zeta,Class Action (Product Liabilty,Quebec,Resources,Third Party,1,0,0,0,0,0,0,1,14918702
777,Lawyer Epsilon,Class Action (Competition),Quebec,Construction,Third Party,1,0,1,1,0,1,1,0,6322383
778,Lawyer Theta,Class Action (Competition),Alberta,Pharmaceuticals,Third Party,0,0,0,0,1,0,0,0,8610006
779,Lawyer Delta,Class Action (Privacy,British Columbia,Resources,Plaintiff,0,0,1,1,0,1,1,0,19271765
780,Lawyer Eta,Action (Securities),Ontario,Insurance,Third Party,0,0,0,1,0,0,0,1,15295197
781,Lawyer Eta,Class Action (Securities),Alberta,Transportation,Defendant,1,1,0,1,1,1,0,0,18289993
782,Lawyer Zeta,Action (Commercial),Alberta,Construction,Defendant,0,1,0,0,1,0,0,1,3410378
783,Lawyer Zeta,Class Action (Privacy,Ontario,Technology,Plaintiff,0,0,1,1,0,0,1,0,19792034
784,Lawyer Theta,Class Action (Product Liabilty,Quebec,Retail,Third Party,0,0,0,1,1,1,1,1,9012870
785,Lawyer Alpha,Action (Product Liability),Alberta,Technology,Third Party,1,1,0,1,1,1,1,0,16600793
786,Lawyer Iota,Action (Product Liability),Quebec,Insurance,Defendant,1,0,1,1,1,1,1,0,5840085
787,Lawyer Zeta,Action (Commercial),Alberta,Retail,Plaintiff,1,0,0,1,1,0,0,1,6013643
788,Lawyer Beta,Class Action (Product Liabilty,British Columbia,Resources,Plaintiff,0,1,1,1,1,1,0,1,18599910
789,Lawyer Delta,Class Action (Securities),Federal,Banking,Third Party,1,1,1,0,0,1,0,0,5547197
790,Lawyer Iota,Class Action (Product Liabilty,British Columbia,Insurance,Plaintiff,1,0,1,1,0,1,1,1,19307566
791,Lawyer Iota,Class Action (Product Liabilty,Quebec,Technology,Plaintiff,1,1,1,1,0,1,1,1,1651024
792,Lawyer Zeta,Action (Product Liability),Alberta,Resources,Third Party,1,0,0,0,0,0,1,1,18078884
793,Lawyer Eta,Action (Commercial),British Columbia,Transportation,Plaintiff,0,1,1,0,0,0,0,1,9676501
794,Lawyer Gamma,Class Action (Securities),Alberta,Insurance,Defendant,0,0,1,0,0,1,1,1,13615622
795,Lawyer Epsilon,Class Action (Privacy,Alberta,Transportation,Defendant,0,0,0,0,1,0,1,0,16648936
796,Lawyer Iota,Action (Commercial),Federal,Construction,Defendant,0,0,0,0,0,1,1,1,13438182
797,Lawyer Zeta,Action (Privacy),Quebec,Retail,Third Party,0,1,1,0,0,0,0,0,1908316
798,Lawyer Eta,Action (Product Liability),Quebec,Pharmaceuticals,Third Party,0,0,1,1,1,0,0,0,19658048
799,Lawyer Zeta,Action (Product Liability),Alberta,Resources,Third Party,1,1,1,1,1,0,1,1,17750186
800,Lawyer Delta,Class Action (Securities),Alberta,Banking,Third Party,1,0,0,0,0,0,0,0,10917061
801,Lawyer Zeta,Class Action (Securities),Federal,Insurance,Plaintiff,1,1,1,1,0,0,1,1,569700
802,Lawyer Epsilon,Action (Product Liability),Alberta,Resources,Plaintiff,1,0,0,0,0,0,0,1,3521955
803,Lawyer Gamma,Action (Commercial),Quebec,Construction,Plaintiff,1,1,0,1,1,1,0,1,11687415
804,Lawyer Eta,Class Action (Product Liabilty,British Columbia,Insurance,Plaintiff,1,1,1,1,1,1,1,1,1887102
805,Lawyer Beta,Action (Commercial),Ontario,Pharmaceuticals,Plaintiff,0,0,0,1,0,0,1,1,14142102
806,Lawyer Alpha,Action (Product Liability),British Columbia,Transportation,Plaintiff,0,0,1,1,0,0,0,1,13099289
807,Lawyer Eta,Action (Product Liability),Ontario,Resources,Defendant,1,1,1,1,1,1,0,1,12183117
808,Lawyer Iota,Action (Product Liability),British Columbia,Banking,Third Party,1,0,0,1,1,0,0,1,3148639
809,Lawyer Iota,Action (Commercial),British Columbia,Construction,Third Party,0,1,0,1,0,1,1,1,13111165
810,Lawyer Zeta,Action (Privacy),Federal,Technology,Third Party,0,0,1,0,1,0,1,1,7623695
811,Lawyer Alpha,Action (Product Liability),Alberta,Technology,Third Party,1,0,1,0,0,0,0,1,11238208
812,Lawyer Zeta,Class Action (Privacy,Alberta,Transportation,Third Party,1,0,0,1,0,0,1,1,10616135
813,Lawyer Iota,Action (Securities),Ontario,Banking,Defendant,1,1,0,1,1,0,1,1,6197243
814,Lawyer Gamma,Action (Product Liability),Alberta,Retail,Defendant,1,0,0,1,0,0,0,1,9428914
815,Lawyer Beta,Action (Privacy),Alberta,Transportation,Third Party,1,1,1,0,1,1,0,0,10956091
816,Lawyer Alpha,Action (Securities),Federal,Pharmaceuticals,Third Party,1,1,0,0,1,1,0,1,15630473
817,Lawyer Delta,Action (Product Liability),Quebec,Construction,Third Party,0,1,0,1,0,1,0,1,6817680
818,Lawyer Gamma,Action (Privacy),Alberta,Banking,Third Party,1,0,0,1,1,1,0,0,19041420
819,Lawyer Epsilon,Action (Commercial),Federal,Resources,Third Party,1,0,0,1,0,1,0,0,13496617
820,Lawyer Epsilon,Action (Commercial),Alberta,Retail,Defendant,1,0,1,0,1,1,1,0,11197670
821,Lawyer Gamma,Class Action (Securities),British Columbia,Pharmaceuticals,Plaintiff,1,0,1,0,0,1,1,0,7811370
822,Lawyer Alpha,Action (Commercial),Quebec,Insurance,Plaintiff,1,0,0,0,0,0,1,1,13395988
823,Lawyer Delta,Action (Securities),Quebec,Retail,Third Party,0,1,0,1,0,1,1,1,11249606
824,Lawyer Zeta,Class Action (Privacy,Quebec,Insurance,Plaintiff,1,1,0,0,1,1,1,1,18701493
825,Lawyer Delta,Class Action (Securities),Quebec,Transportation,Defendant,0,0,0,0,1,1,1,0,4228152
826,Lawyer Kappa,Class Action (Securities),British Columbia,Technology,Defendant,0,1,1,0,1,0,1,1,16794172
827,Lawyer Eta,Action (Commercial),British Columbia,Banking,Third Party,0,0,0,1,1,1,1,1,16898947
828,Lawyer Beta,Action (Privacy),Ontario,Construction,Third Party,1,1,0,0,1,0,0,0,1426553
829,Lawyer Iota,Class Action (Privacy,British Columbia,Transportation,Third Party,1,0,1,1,0,1,0,1,9722892
830,Lawyer Iota,Class Action (Securities),Quebec,Transportation,Third Party,0,0,1,0,1,0,1,1,14705813
831,Lawyer Theta,Action (Securities),British Columbia,Construction,Defendant,1,1,1,0,1,0,1,0,16350294
832,Lawyer Kappa,Class Action (Competition),British Columbia,Construction,Plaintiff,1,1,0,0,0,0,1,0,14589865
833,Lawyer Beta,Action (Product Liability),Quebec,Banking,Plaintiff,0,1,0,0,1,0,0,1,7210429
834,Lawyer Gamma,Action (Commercial),Quebec,Banking,Third Party,1,1,1,0,0,0,0,0,17963658
835,Lawyer Gamma,Action (Product Liability),Quebec,Pharmaceuticals,Plaintiff,0,0,1,1,1,1,1,1,8926826
836,Lawyer Delta,Class Action (Securities),Federal,Banking,Defendant,1,0,1,1,1,0,1,0,18230747
837,Lawyer Eta,Action (Commercial),Quebec,Construction,Third Party,0,1,1,0,0,1,1,0,16762001
838,Lawyer Beta,Class Action (Product Liabilty,Quebec,Retail,Defendant,1,0,1,0,0,1,1,0,8376058
839,Lawyer Eta,Class Action (Privacy,Alberta,Pharmaceuticals,Plaintiff,0,1,1,1,0,1,1,0,12706528
840,Lawyer Kappa,Action (Securities),Federal,Insurance,Third Party,0,1,0,0,0,1,1,1,11324330
841,Lawyer Kappa,Action (Product Liability),Quebec,Retail,Third Party,1,1,1,0,0,0,1,0,679655
842,Lawyer Epsilon,Class Action (Competition),Quebec,Retail,Defendant,1,0,0,0,0,1,0,1,10484562
843,Lawyer Gamma,Action (Securities),Ontario,Technology,Plaintiff,1,0,0,1,1,1,0,0,11059379
844,Lawyer Alpha,Class Action (Privacy,British Columbia,Transportation,Plaintiff,0,0,1,0,1,1,1,1,16001160
845,Lawyer Iota,Class Action (Securities),Quebec,Insurance,Defendant,1,0,1,1,1,1,1,0,8722315
846,Lawyer Gamma,Action (Privacy),Federal,Retail,Plaintiff,0,1,1,0,0,0,0,1,2157206
847,Lawyer Kappa,Class Action (Privacy,Ontario,Construction,Defendant,1,0,1,1,0,0,1,1,15065683
848,Lawyer Iota,Action (Commercial),British Columbia,Insurance,Third Party,0,1,1,1,1,0,1,0,2488110
849,Lawyer Theta,Class Action (Securities),British Columbia,Insurance,Third Party,1,0,0,1,1,1,1,0,5308372
850,Lawyer Delta,Class Action (Securities),Federal,Technology,Plaintiff,0,1,1,1,1,1,0,0,6862054
851,Lawyer Delta,Class Action (Competition),Federal,Technology,Third Party,0,1,0,0,1,0,1,1,16103847
852,Lawyer Delta,Class Action (Competition),Federal,Banking,Defendant,0,1,1,0,1,0,0,0,9244770
853,Lawyer Delta,Class Action (Competition),Ontario,Construction,Plaintiff,1,0,0,1,0,0,1,0,5811041
854,Lawyer Iota,Action (Securities),Quebec,Resources,Defendant,0,0,1,0,1,1,1,0,4675479
855,Lawyer Gamma,Class Action (Privacy,Federal,Technology,Plaintiff,1,0,1,1,0,0,1,0,1267786
856,Lawyer Gamma,Action (Commercial),Quebec,Transportation,Defendant,0,0,0,1,0,1,0,1,17478465
857,Lawyer Delta,Action (Commercial),Alberta,Insurance,Plaintiff,0,0,0,1,0,0,1,1,10880704
858,Lawyer Zeta,Action (Commercial),Alberta,Transportation,Plaintiff,0,1,0,1,1,1,0,1,17364723
859,Lawyer Eta,Class Action (Securities),British Columbia,Resources,Defendant,1,0,1,0,1,1,0,0,3014219
860,Lawyer Alpha,Class Action (Competition),Ontario,Banking,Defendant,1,0,0,0,1,0,1,0,4451308
861,Lawyer Zeta,Action (Securities),Ontario,Resources,Defendant,0,0,0,1,1,1,0,1,18608552
862,Lawyer Eta,Action (Securities),Alberta,Transportation,Defendant,1,1,1,0,0,1,1,1,18780343
863,Lawyer Theta,Action (Commercial),Alberta,Resources,Plaintiff,1,1,1,1,1,0,0,1,8257540
864,Lawyer Kappa,Action (Privacy),Quebec,Retail,Plaintiff,0,0,0,1,1,1,1,0,3353820
865,Lawyer Eta,Action (Commercial),Alberta,Technology,Defendant,1,1,0,0,0,1,0,0,5979920
866,Lawyer Beta,Class Action (Product Liabilty,Alberta,Retail,Defendant,1,0,1,1,1,0,1,0,18451579
867,Lawyer Delta,Class Action (Product Liabilty,Quebec,Transportation,Defendant,1,1,0,0,0,1,1,0,16762426
868,Lawyer Zeta,Class Action (Privacy,Alberta,Retail,Plaintiff,0,0,1,0,1,0,0,0,654071
869,Lawyer Beta,Action (Securities),Ontario,Technology,Defendant,1,0,0,0,1,1,1,0,6520210
870,Lawyer Zeta,Action (Privacy),Federal,Transportation,Defendant,0,0,1,1,1,0,1,0,3677334
871,Lawyer Delta,Class Action (Product Liabilty,Alberta,Resources,Third Party,0,1,0,1,1,1,0,0,7491532
872,Lawyer Eta,Action (Commercial),Federal,Retail,Third Party,0,1,0,1,0,0,0,0,19836646
873,Lawyer Alpha,Action (Privacy),Alberta,Construction,Plaintiff,0,0,0,1,0,1,1,0,6370641
874,Lawyer Iota,Action (Privacy),Federal,Pharmaceuticals,Defendant,1,0,0,0,1,0,0,1,15699384
875,Lawyer Theta,Action (Commercial),Ontario,Technology,Plaintiff,0,1,0,0,0,1,0,1,11158070
876,Lawyer Epsilon,Class Action (Competition),British Columbia,Resources,Third Party,0,1,0,0,0,1,1,1,10257471
877,Lawyer Eta,Action (Privacy),Alberta,Technology,Plaintiff,0,1,1,1,0,1,1,0,13345206
878,Lawyer Iota,Class Action (Competition),Quebec,Pharmaceuticals,Plaintiff,0,1,1,0,1,0,0,1,19412228
879,Lawyer Alpha,Class Action (Product Liabilty,British Columbia,Insurance,Third Party,1,0,1,1,0,1,0,0,2335027
880,Lawyer Alpha,Class Action (Product Liabilty,British Columbia,Technology,Plaintiff,0,1,1,1,1,0,1,1,8245196
881,Lawyer Alpha,Class Action (Privacy,Alberta,Transportation,Plaintiff,1,0,0,0,0,0,0,0,11142830
882,Lawyer Theta,Class Action (Competition),Alberta,Technology,Defendant,0,0,0,0,0,0,0,1,7075909
883,Lawyer Eta,Action (Commercial),Quebec,Retail,Defendant,1,1,0,0,1,1,1,1,13207116
884,Lawyer Iota,Class Action (Privacy,British Columbia,Retail,Defendant,0,1,1,0,0,0,1,0,8503971
885,Lawyer Iota,Class Action (Securities),Ontario,Technology,Plaintiff,1,1,1,0,1,1,0,1,2939461
886,Lawyer Zeta,Action (Commercial),Quebec,Banking,Plaintiff,1,0,0,0,1,0,0,0,16464150
887,Lawyer Theta,Class Action (Competition),Alberta,Technology,Plaintiff,0,0,0,1,1,1,1,1,5364428
888,Lawyer Beta,Action (Privacy),Alberta,Banking,Defendant,0,0,1,1,1,1,1,1,1059802
889,Lawyer Theta,Class Action (Securities),Ontario,Pharmaceuticals,Third Party,1,1,1,1,0,0,0,1,12585661
890,Lawyer Iota,Action (Commercial),Ontario,Resources,Third Party,1,0,1,0,0,0,1,0,11473625
891,Lawyer Gamma,Action (Securities),Alberta,Retail,Defendant,1,0,1,1,0,0,1,0,8117045
892,Lawyer Alpha,Class Action (Product Liabilty,Alberta,Construction,Defendant,0,0,0,0,0,0,1,0,510772
893,Lawyer Iota,Action (Commercial),Alberta,Transportation,Third Party,1,1,1,1,0,0,1,0,11647696
894,Lawyer Kappa,Class Action (Securities),Quebec,Insurance,Defendant,1,1,0,1,0,1,0,1,7531400
895,Lawyer Theta,Class Action (Product Liabilty,British Columbia,Pharmaceuticals,Plaintiff,1,1,0,0,1,0,0,1,3918231
896,Lawyer Iota,Action (Securities),Federal,Technology,Third Party,1,1,1,0,0,0,1,0,16432999
897,Lawyer Zeta,Class Action (Product Liabilty,British Columbia,Banking,Defendant,1,0,1,0,1,0,1,0,4432363
898,Lawyer Alpha,Class Action (Securities),Federal,Construction,Plaintiff,0,0,1,0,1,0,1,0,19484348
899,Lawyer Beta,Class Action (Securities),Alberta,Resources,Plaintiff,1,0,1,0,1,0,0,0,14926781
900,Lawyer Gamma,Class Action (Securities),British Columbia,Transportation,Defendant,1,1,0,1,1,0,0,1,5922167
901,Lawyer Iota,Action (Product Liability),Quebec,Transportation,Third Party,1,0,0,0,0,1,1,1,12884445
902,Lawyer Kappa,Action (Securities),Federal,Banking,Defendant,1,0,0,0,1,0,0,1,2685360
903,Lawyer Alpha,Action (Commercial),Alberta,Banking,Defendant,0,0,0,0,1,0,0,1,15426169
904,Lawyer Kappa,Class Action (Competition),British Columbia,Resources,Plaintiff,0,1,0,1,1,1,0,1,928690
905,Lawyer Delta,Class Action (Product Liabilty,British Columbia,Banking,Defendant,1,0,0,1,1,1,1,0,728762
906,Lawyer Zeta,Action (Commercial),Quebec,Technology,Plaintiff,1,1,0,0,0,0,0,0,13696684
907,Lawyer Iota,Class Action (Privacy,Federal,Insurance,Third Party,0,1,0,0,0,1,0,0,1818261
908,Lawyer Theta,Class Action (Competition),Alberta,Construction,Third Party,0,1,0,1,0,0,0,0,6609682
909,Lawyer Epsilon,Action (Securities),Ontario,Construction,Plaintiff,0,0,1,0,1,0,0,1,14659881
910,Lawyer Gamma,Action (Privacy),Quebec,Insurance,Third Party,1,0,1,1,1,0,1,0,19573016
911,Lawyer Delta,Action (Commercial),Federal,Resources,Defendant,0,1,1,0,0,0,0,1,3748022
912,Lawyer Iota,Action (Product Liability),Federal,Transportation,Third Party,0,0,1,0,1,1,0,1,18980801
913,Lawyer Zeta,Action (Privacy),Federal,Transportation,Defendant,1,0,1,1,0,1,1,1,6835174
914,Lawyer Beta,Action (Commercial),British Columbia,Insurance,Defendant,0,0,0,1,1,1,1,0,5156250
915,Lawyer Kappa,Action (Commercial),British Columbia,Banking,Plaintiff,0,1,1,0,1,1,0,1,11267991
916,Lawyer Gamma,Action (Commercial),British Columbia,Retail,Third Party,1,1,1,1,0,1,1,1,18872943
917,Lawyer Eta,Action (Commercial),Federal,Banking,Third Party,1,0,0,1,0,0,0,1,2403593
918,Lawyer Beta,Class Action (Competition),Federal,Construction,Defendant,0,1,0,1,1,1,1,0,11189174
919,Lawyer Theta,Class Action (Competition),Quebec,Banking,Plaintiff,0,1,0,0,1,0,0,1,15313754
920,Lawyer Zeta,Action (Privacy),Quebec,Retail,Plaintiff,0,1,0,1,0,0,1,0,18124684
921,Lawyer Alpha,Action (Securities),Federal,Transportation,Third Party,1,1,0,1,0,1,0,1,5859147
922,Lawyer Theta,Class Action (Competition),Federal,Insurance,Third Party,0,0,0,1,1,1,1,1,16442172
923,Lawyer Theta,Class Action (Securities),British Columbia,Resources,Defendant,0,0,1,0,0,1,1,1,8646604
924,Lawyer Eta,Class Action (Securities),Federal,Technology,Plaintiff,1,0,1,0,0,1,1,0,19860359
925,Lawyer Gamma,Action (Commercial),British Columbia,Transportation,Plaintiff,0,0,0,0,1,0,0,0,13051230
926,Lawyer Theta,Action (Privacy),Alberta,Retail,Defendant,1,1,0,1,0,1,0,1,4626375
927,Lawyer Iota,Class Action (Privacy,British Columbia,Construction,Defendant,1,0,0,1,0,1,1,0,3747121
928,Lawyer Zeta,Class Action (Competition),Alberta,Transportation,Defendant,1,1,1,1,0,0,1,1,7738507
929,Lawyer Theta,Class Action (Competition),Federal,Retail,Defendant,0,0,1,0,0,1,0,1,7104700
930,Lawyer Theta,Class Action (Privacy,British Columbia,Construction,Plaintiff,0,0,0,0,0,1,0,0,14742847
931,Lawyer Gamma,Action (Securities),British Columbia,Transportation,Third Party,0,0,1,1,1,1,0,1,11956268
932,Lawyer Alpha,Class Action (Privacy,Ontario,Construction,Plaintiff,0,1,1,0,1,0,0,1,6519041
933,Lawyer Delta,Action (Privacy),Federal,Insurance,Third Party,0,0,0,0,1,1,1,1,18353857
934,Lawyer Iota,Action (Product Liability),Federal,Transportation,Plaintiff,0,0,1,1,1,1,0,1,6039862
935,Lawyer Eta,Class Action (Competition),Federal,Resources,Plaintiff,0,1,1,1,0,0,0,1,9010458
936,Lawyer Iota,Action (Securities),British Columbia,Resources,Plaintiff,1,1,1,0,1,1,1,0,9019652
937,Lawyer Beta,Class Action (Competition),Ontario,Resources,Defendant,0,0,1,0,1,1,0,1,15543474
938,Lawyer Zeta,Class Action (Privacy,Federal,Banking,Defendant,1,0,0,0,1,0,0,1,5782163
939,Lawyer Zeta,Action (Privacy),Federal,Transportation,Defendant,0,0,1,0,1,1,1,1,6683834
940,Lawyer Gamma,Class Action (Securities),Federal,Pharmaceuticals,Defendant,1,1,1,1,0,1,0,0,4592520
941,Lawyer Delta,Class Action (Securities),Federal,Retail,Defendant,1,1,0,1,0,1,1,0,18575837
942,Lawyer Alpha,Action (Securities),Alberta,Insurance,Plaintiff,1,0,0,1,0,0,1,1,17400901
943,Lawyer Alpha,Action (Product Liability),Quebec,Transportation,Third Party,0,1,0,1,1,1,0,0,15549639
944,Lawyer Zeta,Action (Privacy),Quebec,Technology,Defendant,1,0,0,1,1,0,0,0,14754458
945,Lawyer Delta,Action (Privacy),Ontario,Construction,Plaintiff,1,1,1,0,0,1,0,1,10076543
946,Lawyer Kappa,Class Action (Competition),Ontario,Pharmaceuticals,Plaintiff,1,1,1,1,0,1,0,0,17445823
947,Lawyer Epsilon,Action (Product Liability),Federal,Resources,Third Party,1,1,0,1,1,1,1,1,17583512
948,Lawyer Alpha,Action (Product Liability),Alberta,Banking,Third Party,1,1,1,1,1,1,1,1,13866509
949,Lawyer Beta,Action (Securities),Ontario,Transportation,Third Party,0,0,1,1,1,1,1,0,15846118
950,Lawyer Iota,Action (Commercial),Alberta,Retail,Third Party,0,0,0,1,1,0,1,0,6244614
951,Lawyer Gamma,Class Action (Competition),Ontario,Banking,Defendant,1,1,1,1,0,1,0,0,10556807
952,Lawyer Theta,Class Action (Competition),Federal,Pharmaceuticals,Plaintiff,0,0,1,0,1,0,0,0,15265616
953,Lawyer Theta,Class Action (Product Liabilty,Alberta,Construction,Plaintiff,1,1,1,0,1,1,1,0,8659239
954,Lawyer Delta,Class Action (Securities),Quebec,Pharmaceuticals,Plaintiff,1,1,1,1,1,1,0,1,16649578
955,Lawyer Alpha,Class Action (Privacy,Alberta,Banking,Plaintiff,1,0,0,0,0,0,1,0,7368341
956,Lawyer Beta,Action (Commercial),Federal,Retail,Plaintiff,0,0,1,0,0,1,0,0,15534135
957,Lawyer Zeta,Action (Securities),Ontario,Pharmaceuticals,Defendant,1,1,0,0,1,0,1,1,19386233
958,Lawyer Iota,Action (Commercial),British Columbia,Pharmaceuticals,Third Party,1,0,1,0,0,0,0,1,14539588
959,Lawyer Iota,Class Action (Privacy,Federal,Banking,Defendant,0,0,1,1,0,0,0,1,3137043
960,Lawyer Eta,Class Action (Privacy,Federal,Pharmaceuticals,Third Party,1,1,1,1,0,1,0,1,12720093
961,Lawyer Theta,Action (Securities),Ontario,Resources,Defendant,1,0,1,1,1,0,0,0,4923953
962,Lawyer Epsilon,Class Action (Privacy,Federal,Construction,Plaintiff,0,0,0,1,1,1,0,1,749808
963,Lawyer Delta,Class Action (Competition),Quebec,Retail,Plaintiff,1,0,0,1,0,0,0,0,16866738
964,Lawyer Alpha,Class Action (Privacy,Federal,Pharmaceuticals,Third Party,1,0,0,1,1,1,1,1,3010673
965,Lawyer Delta,Action (Securities),Federal,Insurance,Plaintiff,0,1,0,1,0,1,0,0,13259895
966,Lawyer Beta,Class Action (Product Liabilty,Quebec,Transportation,Third Party,0,0,1,0,1,0,0,0,10821278
967,Lawyer Gamma,Class Action (Product Liabilty,British Columbia,Insurance,Defendant,0,1,1,1,1,0,1,0,18044691
968,Lawyer Epsilon,Class Action (Securities),Ontario,Pharmaceuticals,Plaintiff,1,0,0,0,1,0,1,0,16047170
969,Lawyer Alpha,Action (Privacy),Alberta,Transportation,Third Party,1,1,0,1,1,1,1,0,16862408
970,Lawyer Zeta,Class Action (Securities),Quebec,Technology,Defendant,0,0,1,0,1,0,0,1,7830754
971,Lawyer Iota,Class Action (Privacy,British Columbia,Retail,Plaintiff,1,0,1,1,1,1,1,0,17434001
972,Lawyer Delta,Action (Product Liability),Federal,Banking,Plaintiff,1,0,0,1,0,1,0,0,13788588
973,Lawyer Iota,Action (Product Liability),Federal,Transportation,Defendant,0,0,0,0,1,1,0,0,8185313
974,Lawyer Kappa,Action (Privacy),Alberta,Construction,Third Party,0,0,0,0,0,0,0,1,9560669
975,Lawyer Iota,Class Action (Privacy,Alberta,Insurance,Plaintiff,0,0,1,0,1,0,1,0,5475463
976,Lawyer Eta,Action (Privacy),Alberta,Retail,Third Party,1,1,1,0,0,0,1,0,18879129
977,Lawyer Epsilon,Class Action (Competition),Federal,Insurance,Defendant,1,0,1,0,0,1,0,1,12192481
978,Lawyer Eta,Class Action (Privacy,Ontario,Transportation,Third Party,1,0,1,1,0,0,1,1,9839973
979,Lawyer Theta,Class Action (Privacy,Alberta,Banking,Plaintiff,1,0,1,1,1,1,1,1,17156259
980,Lawyer Zeta,Action (Privacy),Federal,Insurance,Defendant,1,1,1,0,1,1,1,0,12072414
981,Lawyer Alpha,Action (Securities),Quebec,Insurance,Plaintiff,1,0,1,1,1,1,1,0,2583327
982,Lawyer Zeta,Action (Product Liability),Quebec,Pharmaceuticals,Plaintiff,1,1,1,0,0,0,0,1,7537368
983,Lawyer Kappa,Action (Product Liability),British Columbia,Transportation,Third Party,0,0,1,1,1,1,0,1,16670299
984,Lawyer Epsilon,Action (Commercial),Alberta,Retail,Third Party,1,0,0,0,0,0,1,0,3355232
985,Lawyer Eta,Action (Privacy),Alberta,Technology,Plaintiff,1,0,1,0,1,1,1,0,11755236
986,Lawyer Eta,Action (Commercial),Quebec,Banking,Plaintiff,0,1,0,0,1,0,0,1,17621268
987,Lawyer Beta,Class Action (Competition),British Columbia,Insurance,Third Party,1,1,0,0,0,1,0,1,18154036
988,Lawyer Eta,Action (Securities),Quebec,Retail,Defendant,0,1,0,1,0,0,0,1,7298259
989,Lawyer Eta,Class Action (Product Liabilty,Alberta,Technology,Third Party,1,0,1,0,1,1,1,0,18502952
990,Lawyer Gamma,Action (Privacy),Federal,Pharmaceuticals,Defendant,0,1,0,1,1,1,0,0,14353190
991,Lawyer Zeta,Action (Privacy),Ontario,Resources,Plaintiff,0,0,0,1,1,0,1,0,19293957
992,Lawyer Theta,Action (Privacy),British Columbia,Construction,Third Party,0,1,1,1,1,0,0,1,17104208
993,Lawyer Delta,Class Action (Competition),Alberta,Technology,Defendant,0,1,1,1,1,0,0,1,14048022
994,Lawyer Gamma,Class Action (Securities),Quebec,Retail,Third Party,0,0,1,0,1,1,1,1,2322779
995,Lawyer Eta,Action (Product Liability),Quebec,Banking,Third Party,0,0,1,0,1,1,1,0,14515873
996,Lawyer Kappa,Action (Privacy),Alberta,Pharmaceuticals,Defendant,0,0,0,1,0,1,1,1,13253827
997,Lawyer Beta,Class Action (Privacy,British Columbia,Resources,Defendant,1,1,0,1,0,1,1,0,5983939
998,Lawyer Gamma,Action (Commercial),Alberta,Retail,Third Party,1,1,1,1,1,1,1,1,18877704
999,Lawyer Kappa,Action (Commercial),Quebec,Technology,Defendant,0,0,0,0,0,0,1,1,1401702
1000,Lawyer Delta,Class Action (Securities),Ontario,Pharmaceuticals,Defendant,0,0,1,1,1,0,0,0,15073851
1001,Lawyer Gamma,Action (Commercial),Alberta,Transportation,Plaintiff,1,0,0,0,0,0,1,0,8649665
1002,Lawyer Gamma,Action (Product Liability),Federal,Banking,Third Party,0,0,1,1,1,0,0,1,18242781
1003,Lawyer Delta,Class Action (Privacy,Alberta,Transportation,Third Party,1,0,1,0,1,1,0,1,1926189
1004,Lawyer Eta,Action (Privacy),Federal,Resources,Defendant,0,1,1,1,0,0,0,1,5244951
1005,Lawyer Gamma,Class Action (Securities),Quebec,Technology,Plaintiff,0,0,1,0,0,1,0,1,3159847
1006,Lawyer Iota,Action (Securities),Ontario,Construction,Third Party,0,1,1,1,0,0,1,1,8485462
1007,Lawyer Epsilon,Action (Commercial),British Columbia,Technology,Third Party,0,1,0,1,1,1,0,0,14971070
1008,Lawyer Delta,Class Action (Privacy,Federal,Construction,Defendant,1,0,0,0,1,0,0,0,7439624
1009,Lawyer Kappa,Action (Commercial),British Columbia,Transportation,Defendant,1,0,0,1,1,0,1,1,15474120
1010,Lawyer Alpha,Class Action (Privacy,Federal,Resources,Third Party,0,0,0,0,0,0,0,0,19471823
